villcode,county,district,village,agree_2025,disagree_2025,2021_agree,2021_disagree,agree_diff,disagree_diff,agree_pct_change,disagree_pct_change
66000110001,臺中市,大甲區,朝陽里,232,80,260,317,-28,-237,-10.769,-74.763
66000110002,臺中市,大甲區,大甲里,177,61,183,252,-6,-191,-3.279,-75.794
66000110003,臺中市,大甲區,順天里,317,93,302,381,15,-288,4.967,-75.591
66000110004,臺中市,大甲區,孔門里,150,34,147,142,3,-108,2.041,-76.056
66000110005,臺中市,大甲區,平安里,408,95,349,437,59,-342,16.905,-78.261
66000110006,臺中市,大甲區,庄美里,438,132,387,496,51,-364,13.178,-73.387
66000110007,臺中市,大甲區,新美里,711,183,651,679,60,-496,9.217,-73.049
66000110008,臺中市,大甲區,岷山里,456,92,382,386,74,-294,19.372,-76.166
66000110009,臺中市,大甲區,中山里,1058,220,888,817,170,-597,19.144,-73.072
66000110010,臺中市,大甲區,南陽里,173,40,154,172,19,-132,12.338,-76.744
66000110011,臺中市,大甲區,薰風里,205,34,168,229,37,-195,22.024,-85.153
66000110012,臺中市,大甲區,義和里,703,146,562,579,141,-433,25.089,-74.784
66000110013,臺中市,大甲區,武陵里,277,47,227,225,50,-178,22.026,-79.111
66000110014,臺中市,大甲區,文曲里,207,45,132,222,75,-177,56.818,-79.73
66000110015,臺中市,大甲區,武曲里,417,98,333,369,84,-271,25.225,-73.442
66000110016,臺中市,大甲區,文武里,1130,297,1003,1059,127,-762,12.662,-71.955
66000110017,臺中市,大甲區,奉化里,490,122,404,391,86,-269,21.287,-68.798
66000110018,臺中市,大甲區,德化里,361,74,255,380,106,-306,41.569,-80.526
66000110019,臺中市,大甲區,江南里,267,56,216,251,51,-195,23.611,-77.689
66000110020,臺中市,大甲區,頂店里,996,235,776,894,220,-659,28.351,-73.714
66000110021,臺中市,大甲區,太白里,247,55,176,251,71,-196,40.341,-78.088
66000110022,臺中市,大甲區,孟春里,719,192,594,779,125,-587,21.044,-75.353
66000110023,臺中市,大甲區,幸福里,424,129,347,503,77,-374,22.19,-74.354
66000110024,臺中市,大甲區,日南里,1082,254,836,974,246,-720,29.426,-73.922
66000110025,臺中市,大甲區,龍泉里,303,78,258,319,45,-241,17.442,-75.549
66000110026,臺中市,大甲區,西岐里,360,90,282,312,78,-222,27.66,-71.154
66000110027,臺中市,大甲區,銅安里,251,39,187,245,64,-206,34.225,-84.082
66000110028,臺中市,大甲區,福德里,202,44,182,193,20,-149,10.989,-77.202
66000110029,臺中市,大甲區,建興里,225,53,174,265,51,-212,29.31,-80.0
66000220001,臺中市,大安區,南埔里,147,49,130,225,17,-176,13.077,-78.222
66000220002,臺中市,大安區,南庄里,178,59,160,195,18,-136,11.25,-69.744
66000220003,臺中市,大安區,中庄里,494,134,361,499,133,-365,36.842,-73.146
66000220006,臺中市,大安區,東安里,281,83,183,266,98,-183,53.552,-68.797
66000220005,臺中市,大安區,福興里,221,55,171,225,50,-170,29.24,-75.556
66000220004,臺中市,大安區,龜?里,277,51,243,279,34,-228,13.992,-81.72
66000220007,臺中市,大安區,頂安里,162,37,163,173,-1,-136,-0.613,-78.613
66000220008,臺中市,大安區,永安里,285,60,255,304,30,-244,11.765,-80.263
66000220009,臺中市,大安區,福住里,198,35,147,188,51,-153,34.694,-81.383
66000220010,臺中市,大安區,海墘里,277,45,225,227,52,-182,23.111,-80.176
66000220011,臺中市,大安區,西安里,333,71,286,321,47,-250,16.434,-77.882
