villcode,county,district,village,agree_2025,disagree_2025,2021_agree,2021_disagree,agree_diff,disagree_diff,agree_pct_change,disagree_pct_change
66000220012,臺中市,大安區,松雅里,245,79,180,257,65,-178,36.111,-69.261
66000210001,臺中市,外埔區,永豐里,269,52,204,182,65,-130,31.863,-71.429
66000210002,臺中市,外埔區,六分里,556,122,417,357,139,-235,33.333,-65.826
66000210004,臺中市,外埔區,大同里,1169,201,967,800,202,-599,20.889,-74.875
66000210006,臺中市,外埔區,大東里,1473,317,1211,1127,262,-810,21.635,-71.872
66000210003,臺中市,外埔區,三崁里,435,100,314,307,121,-207,38.535,-67.427
66000210005,臺中市,外埔區,水美里,818,197,632,619,186,-422,29.43,-68.174
66000210009,臺中市,外埔區,鐵山里,478,97,382,320,96,-223,25.131,-69.688
66000210008,臺中市,外埔區,中山里,345,61,279,239,66,-178,23.656,-74.477
66000210007,臺中市,外埔區,馬鳴里,321,72,227,246,94,-174,41.41,-70.732
66000210010,臺中市,外埔區,土城里,281,85,251,343,30,-258,11.952,-75.219
66000210011,臺中市,外埔區,廍子里,195,44,167,180,28,-136,16.766,-75.556
66000120001,臺中市,清水區,鰲峰里,218,79,209,254,9,-175,4.306,-68.898
66000120002,臺中市,清水區,靈泉里,213,61,208,254,5,-193,2.404,-75.984
66000120003,臺中市,清水區,清水里,497,146,412,500,85,-354,20.631,-70.8
66000120004,臺中市,清水區,文昌里,122,44,130,178,-8,-134,-6.154,-75.281
66000120005,臺中市,清水區,南寧里,355,110,351,414,4,-304,1.14,-73.43
66000120006,臺中市,清水區,西寧里,309,113,277,383,32,-270,11.552,-70.496
66000120007,臺中市,清水區,北寧里,160,57,141,183,19,-126,13.475,-68.852
66000120008,臺中市,清水區,中興里,97,44,91,119,6,-75,6.593,-63.025
66000120009,臺中市,清水區,西社里,452,130,413,541,39,-411,9.443,-75.97
66000120010,臺中市,清水區,南社里,2450,680,1889,2219,561,-1539,29.698,-69.356
66000120011,臺中市,清水區,裕嘉里,267,81,230,310,37,-229,16.087,-73.871
66000120012,臺中市,清水區,臨江里,326,98,271,322,55,-224,20.295,-69.565
66000120013,臺中市,清水區,秀水里,1007,277,823,913,184,-636,22.357,-69.66
66000120014,臺中市,清水區,武鹿里,715,181,515,725,200,-544,38.835,-75.034
66000120015,臺中市,清水區,海濱里,379,120,323,470,56,-350,17.337,-74.468
66000120016,臺中市,清水區,槺榔里,1881,511,965,1333,916,-822,94.922,-61.665
66000120017,臺中市,清水區,中社里,903,150,822,360,81,-210,9.854,-58.333
66000120018,臺中市,清水區,高西里,221,42,225,171,-4,-129,-1.778,-75.439
66000120019,臺中市,清水區,高南里,214,69,202,245,12,-176,5.941,-71.837
66000120020,臺中市,清水區,高東里,217,84,168,244,49,-160,29.167,-65.574
66000120021,臺中市,清水區,高北里,195,36,151,183,44,-147,29.139,-80.328
66000120022,臺中市,清水區,高美里,265,54,216,229,49,-175,22.685,-76.419
66000120023,臺中市,清水區,國姓里,307,116,224,438,83,-322,37.054,-73.516
66000120024,臺中市,清水區,菁埔里,395,146,345,553,50,-407,14.493,-73.599
66000120025,臺中市,清水區,頂湳里,320,65,263,335,57,-270,21.673,-80.597
66000120026,臺中市,清水區,田寮里,351,115,284,515,67,-400,23.592,-77.67
66000120027,臺中市,清水區,橋頭里,1498,464,1201,1747,297,-1283,24.729,-73.44
66000120028,臺中市,清水區,下湳里,568,179,460,607,108,-428,23.478,-70.511
66000120029,臺中市,清水區,東山里,248,77,202,222,46,-145,22.772,-65.315
66000120032,臺中市,清水區,吳厝里,325,81,244,323,81,-242,33.197,-74.923
66000120030,臺中市,清水區,楊厝里,197,57,171,264,26,-207,15.205,-78.409
66000120031,臺中市,清水區,海風里,281,46,239,257,42,-211,17.573,-82.101
66000140001,臺中市,梧棲區,頂寮里,1309,326,668,758,641,-432,95.958,-56.992
66000140002,臺中市,梧棲區,下寮里,391,144,376,462,15,-318,3.989,-68.831
66000140003,臺中市,梧棲區,中正里,898,194,740,752,158,-558,21.351,-74.202
66000140004,臺中市,梧棲區,中和里,93,44,97,127,-4,-83,-4.124,-65.354
66000140005,臺中市,梧棲區,文化里,252,78,234,253,18,-175,7.692,-69.17
66000140006,臺中市,梧棲區,安仁里,160,41,158,172,2,-131,1.266,-76.163
66000140007,臺中市,梧棲區,草湳里,1320,348,1129,1281,191,-933,16.918,-72.834
66000140008,臺中市,梧棲區,南簡里,1198,332,840,1135,358,-803,42.619,-70.749
66000140009,臺中市,梧棲區,福德里,1022,275,748,1001,274,-726,36.631,-72.527
66000140010,臺中市,梧棲區,大庄里,1709,379,1383,1498,326,-1119,23.572,-74.7
66000140011,臺中市,梧棲區,大村里,1293,316,989,1201,304,-885,30.738,-73.689
66000140012,臺中市,梧棲區,興農里,642,176,359,469,283,-293,78.83,-62.473
66000140013,臺中市,梧棲區,永寧里,411,119,353,504,58,-385,16.431,-76.389
66000140014,臺中市,梧棲區,永安里,495,129,472,452,23,-323,4.873,-71.46
66000130001,臺中市,沙鹿區,居仁里,409,203,276,333,133,-130,48.188,-39.039
66000130002,臺中市,沙鹿區,洛泉里,651,339,495,534,156,-195,31.515,-36.517
66000130003,臺中市,沙鹿區,沙鹿里,212,149,175,292,37,-143,21.143,-48.973
66000130004,臺中市,沙鹿區,美仁里,177,90,116,118,61,-28,52.586,-23.729
66000130005,臺中市,沙鹿區,興仁里,823,348,503,578,320,-230,63.618,-39.792
66000130020,臺中市,沙鹿區,興安里,1256,530,627,821,629,-291,100.319,-35.445
66000130006,臺中市,沙鹿區,斗抵里,1638,647,918,1061,720,-414,78.431,-39.02
66000130007,臺中市,沙鹿區,鹿峰里,1957,856,1024,1310,933,-454,91.113,-34.656
66000130008,臺中市,沙鹿區,鹿寮里,2367,1272,1236,1894,1131,-622,91.505,-32.841
66000130009,臺中市,沙鹿區,竹林里,2650,930,1531,1548,1119,-618,73.089,-39.922
66000130010,臺中市,沙鹿區,犁分里,350,154,205,268,145,-114,70.732,-42.537
66000130012,臺中市,沙鹿區,福興里,1500,490,798,810,702,-320,87.97,-39.506
66000130011,臺中市,沙鹿區,北勢里,1830,684,937,933,893,-249,95.304,-26.688
66000130013,臺中市,沙鹿區,晉江里,698,246,367,405,331,-159,90.191,-39.259
66000130014,臺中市,沙鹿區,六路里,2013,735,1019,1195,994,-460,97.547,-38.494
66000130015,臺中市,沙鹿區,南勢里,1273,403,715,692,558,-289,78.042,-41.763
66000130016,臺中市,沙鹿區,埔子里,2476,722,1330,1185,1146,-463,86.165,-39.072
66000130021,臺中市,沙鹿區,三鹿里,3004,976,1544,1485,1460,-509,94.56,-34.276
66000130017,臺中市,沙鹿區,公明里,1529,492,1028,760,501,-268,48.735,-35.263
66000130018,臺中市,沙鹿區,清泉里,957,298,550,468,407,-170,74.0,-36.325
66000130019,臺中市,沙鹿區,西勢里,719,248,456,396,263,-148,57.675,-37.374
66000250001,臺中市,龍井區,竹坑里,1198,418,624,613,574,-195,91.987,-31.811
66000250002,臺中市,龍井區,龍東里,1096,378,562,599,534,-221,95.018,-36.895
66000250003,臺中市,龍井區,龍西里,696,252,416,356,280,-104,67.308,-29.213
66000250004,臺中市,龍井區,田中里,1463,559,732,846,731,-287,99.863,-33.924
66000250005,臺中市,龍井區,福田里,373,125,195,182,178,-57,91.282,-31.319
66000250006,臺中市,龍井區,麗水里,840,294,509,417,331,-123,65.029,-29.496
66000250007,臺中市,龍井區,龍津里,1564,683,825,1155,739,-472,89.576,-40.866
66000250008,臺中市,龍井區,三德里,926,376,415,626,511,-250,123.133,-39.936
66000250009,臺中市,龍井區,忠和里,1596,714,812,1159,784,-445,96.552,-38.395
66000250010,臺中市,龍井區,山腳里,2049,781,970,1216,1079,-435,111.237,-35.773
66000250011,臺中市,龍井區,龍泉里,3046,1052,1527,1559,1519,-507,99.476,-32.521
66000250012,臺中市,龍井區,龍崗里,1033,410,506,574,527,-164,104.15,-28.571
66000250013,臺中市,龍井區,新庄里,2048,825,1207,1321,841,-496,69.677,-37.547
66000250014,臺中市,龍井區,南寮里,565,255,294,410,271,-155,92.177,-37.805
66000250015,臺中市,龍井區,新東里,1588,646,1069,1010,519,-364,48.55,-36.04
66000250016,臺中市,龍井區,東海里,3077,1195,2098,1736,979,-541,46.663,-31.164
66000240001,臺中市,大肚區,王田里,1477,590,762,977,715,-387,93.832,-39.611
66000240002,臺中市,大肚區,中和里,328,143,179,231,149,-88,83.24,-38.095
66000240003,臺中市,大肚區,福山里,1181,539,687,803,494,-264,71.907,-32.877
66000240004,臺中市,大肚區,營埔里,579,196,316,326,263,-130,83.228,-39.877
66000240005,臺中市,大肚區,社腳里,921,324,568,526,353,-202,62.148,-38.403
66000240006,臺中市,大肚區,新興里,899,326,542,584,357,-258,65.867,-44.178
66000240007,臺中市,大肚區,大東里,1058,425,715,653,343,-228,47.972,-34.916
66000240008,臺中市,大肚區,大肚里,813,347,562,533,251,-186,44.662,-34.897
66000240009,臺中市,大肚區,永和里,282,132,208,189,74,-57,35.577,-30.159
66000240010,臺中市,大肚區,磺溪里,647,228,338,388,309,-160,91.42,-41.237
66000240011,臺中市,大肚區,永順里,584,262,334,433,250,-171,74.85,-39.492
66000240012,臺中市,大肚區,成功里,393,152,195,174,198,-22,101.538,-12.644
66000240013,臺中市,大肚區,山陽里,440,184,279,299,161,-115,57.706,-38.462
66000240014,臺中市,大肚區,頂街里,2741,969,1627,1574,1114,-605,68.47,-38.437
66000240015,臺中市,大肚區,瑞井里,1648,754,926,1126,722,-372,77.97,-33.037
66000240016,臺中市,大肚區,蔗廍里,1552,745,788,1152,764,-407,96.954,-35.33
66000240017,臺中市,大肚區,自強里,1242,450,800,701,442,-251,55.25,-35.806
66000230001,臺中市,烏日區,烏日里,3004,1432,1877,2234,1127,-802,60.043,-35.9
66000230002,臺中市,烏日區,湖日里,849,488,504,653,345,-165,68.452,-25.268
66000230003,臺中市,烏日區,三和里,2925,1205,1228,1269,1697,-64,138.192,-5.043
66000230004,臺中市,烏日區,榮泉里,2352,933,1263,1198,1089,-265,86.223,-22.12
66000230005,臺中市,烏日區,學田里,936,381,593,546,343,-165,57.841,-30.22
66000230006,臺中市,烏日區,九德里,4302,1914,2623,3171,1679,-1257,64.011,-39.64
66000230007,臺中市,烏日區,仁德里,2654,1194,1698,1870,956,-676,56.302,-36.15
66000230008,臺中市,烏日區,前竹里,493,296,312,486,181,-190,58.013,-39.095
66000230009,臺中市,烏日區,五光里,595,264,329,417,266,-153,80.851,-36.691
66000230010,臺中市,烏日區,光明里,697,370,403,538,294,-168,72.953,-31.227
66000230011,臺中市,烏日區,東園里,826,336,424,547,402,-211,94.811,-38.574
66000230012,臺中市,烏日區,溪埧里,1600,675,852,1072,748,-397,87.793,-37.034
66000230013,臺中市,烏日區,螺潭里,823,349,484,591,339,-242,70.041,-40.948
66000230014,臺中市,烏日區,北里里,519,277,309,443,210,-166,67.961,-37.472
66000230015,臺中市,烏日區,南里里,522,192,348,304,174,-112,50.0,-36.842
66000230016,臺中市,烏日區,溪尾里,324,89,218,148,106,-59,48.624,-39.865
66000260001,臺中市,霧峰區,桐林里,428,187,225,315,203,-128,90.222,-40.635
66000260002,臺中市,霧峰區,吉峰里,3153,1284,1959,2041,1194,-757,60.949,-37.09
66000260003,臺中市,霧峰區,甲寅里,1670,665,996,969,674,-304,67.671,-31.373
66000260004,臺中市,霧峰區,本鄉里,817,365,528,565,289,-200,54.735,-35.398
66000260005,臺中市,霧峰區,中正里,724,310,495,507,229,-197,46.263,-38.856
66000260006,臺中市,霧峰區,錦榮里,436,187,283,280,153,-93,54.064,-33.214
66000260007,臺中市,霧峰區,萊園里,328,172,215,271,113,-99,52.558,-36.531
66000260008,臺中市,霧峰區,本堂里,2094,784,1409,1254,685,-470,48.616,-37.48
66000260010,臺中市,霧峰區,北柳里,1382,583,769,991,613,-408,79.714,-41.171
66000260011,臺中市,霧峰區,南柳里,693,274,419,493,274,-219,65.394,-44.422
66000260012,臺中市,霧峰區,四德里,836,359,463,567,373,-208,80.562,-36.684
66000260013,臺中市,霧峰區,五福里,903,340,547,650,356,-310,65.082,-47.692
66000260018,臺中市,霧峰區,丁台里,765,348,406,668,359,-320,88.424,-47.904
66000260019,臺中市,霧峰區,北勢里,878,251,534,418,344,-167,64.419,-39.952
66000260020,臺中市,霧峰區,南勢里,408,187,265,291,143,-104,53.962,-35.739
66000260014,臺中市,霧峰區,萬豐里,779,403,460,643,319,-240,69.348,-37.325
66000260015,臺中市,霧峰區,舊正里,666,273,406,477,260,-204,64.039,-42.767
66000260009,臺中市,霧峰區,坑口里,1054,378,701,630,353,-252,50.357,-40.0
66000260016,臺中市,霧峰區,峰谷里,383,181,165,265,218,-84,132.121,-31.698
66000260017,臺中市,霧峰區,六股里,744,448,441,674,303,-226,68.707,-33.531
66000150001,臺中市,后里區,廣福里,718,221,496,280,222,-59,44.758,-21.071
66000150002,臺中市,后里區,仁里里,352,106,191,194,161,-88,84.293,-45.361
66000150003,臺中市,后里區,義里里,1069,325,695,496,374,-171,53.813,-34.476
66000150018,臺中市,后里區,義德里,878,275,531,437,347,-162,65.348,-37.071
66000150004,臺中市,后里區,后里里,1317,469,780,782,537,-313,68.846,-40.026
66000150005,臺中市,后里區,厚里里,798,321,405,422,393,-101,97.037,-23.934
66000150006,臺中市,后里區,墩東里,1655,604,982,932,673,-328,68.534,-35.193
66000150007,臺中市,后里區,墩西里,599,282,323,440,276,-158,85.449,-35.909
66000150008,臺中市,后里區,墩南里,1204,480,592,737,612,-257,103.378,-34.871
66000150009,臺中市,后里區,墩北里,1230,536,625,802,605,-266,96.8,-33.167
66000150010,臺中市,后里區,中和里,820,338,396,547,424,-209,107.071,-38.208
66000150011,臺中市,后里區,舊社里,714,290,390,425,324,-135,83.077,-31.765
66000150012,臺中市,后里區,聯合里,508,190,265,351,243,-161,91.698,-45.869
66000150013,臺中市,后里區,太平里,725,204,337,370,388,-166,115.134,-44.865
66000150014,臺中市,后里區,眉山里,1147,343,581,563,566,-220,97.418,-39.076
66000150017,臺中市,后里區,月眉里,627,290,304,471,323,-181,106.25,-38.429
66000150016,臺中市,后里區,公館里,690,264,323,411,367,-147,113.622,-35.766
66000150015,臺中市,后里區,泰安里,459,177,214,307,245,-130,114.486,-42.345
66000160001,臺中市,神岡區,神岡里,1068,446,597,639,471,-193,78.894,-30.203
66000160002,臺中市,神岡區,庄前里,870,359,432,523,438,-164,101.389,-31.358
66000160003,臺中市,神岡區,北庄里,889,455,445,610,444,-155,99.775,-25.41
66000160004,臺中市,神岡區,庄後里,699,394,337,601,362,-207,107.418,-34.443
66000160013,臺中市,神岡區,圳前里,758,304,418,468,340,-164,81.34,-35.043
66000160015,臺中市,神岡區,圳堵里,723,325,362,435,361,-110,99.724,-25.287
66000160014,臺中市,神岡區,新庄里,1205,595,560,896,645,-301,115.179,-33.594
66000160016,臺中市,神岡區,山皮里,346,175,144,269,202,-94,140.278,-34.944
66000160005,臺中市,神岡區,社口里,2529,1122,1186,1647,1343,-525,113.238,-31.876
66000160006,臺中市,神岡區,社南里,1664,782,785,1307,879,-525,111.975,-40.168
66000160007,臺中市,神岡區,三角里,882,425,401,678,481,-253,119.95,-37.316
66000160009,臺中市,神岡區,大社里,1506,613,757,929,749,-316,98.943,-34.015
66000160008,臺中市,神岡區,岸裡里,881,451,422,759,459,-308,108.768,-40.58
66000160010,臺中市,神岡區,豐洲里,2249,1093,1155,1626,1094,-533,94.719,-32.78
66000160011,臺中市,神岡區,神洲里,812,390,400,675,412,-285,103.0,-42.222
66000160012,臺中市,神岡區,溪洲里,947,401,439,672,508,-271,115.718,-40.327
66000180012,臺中市,大雅區,上雅里,1984,816,1047,1228,937,-412,89.494,-33.55
66000180001,臺中市,大雅區,大雅里,1555,607,875,909,680,-302,77.714,-33.223
66000180013,臺中市,大雅區,文雅里,2008,778,1217,1129,791,-351,64.996,-31.089
66000180007,臺中市,大雅區,三和里,1837,703,981,1059,856,-356,87.258,-33.617
66000180010,臺中市,大雅區,二和里,2175,788,1134,1182,1041,-394,91.799,-33.333
66000180011,臺中市,大雅區,四德里,1659,591,979,924,680,-333,69.459,-36.039
66000180008,臺中市,大雅區,西寶里,1554,653,785,963,769,-310,97.962,-32.191
66000180009,臺中市,大雅區,上楓里,2167,838,1037,1255,1130,-417,108.968,-33.227
66000180014,臺中市,大雅區,大楓里,1604,682,928,1026,676,-344,72.845,-33.528
66000180015,臺中市,大雅區,雅楓里,1217,438,663,665,554,-227,83.56,-34.135
66000180002,臺中市,大雅區,員林里,3289,1328,1648,1967,1641,-639,99.575,-32.486
66000180003,臺中市,大雅區,六寶里,2101,759,1279,1116,822,-357,64.269,-31.989
66000180004,臺中市,大雅區,秀山里,1195,472,615,730,580,-258,94.309,-35.342
66000180006,臺中市,大雅區,橫山里,1436,613,816,888,620,-275,75.98,-30.968
66000180005,臺中市,大雅區,忠義里,1413,333,959,334,454,-1,47.341,-0.299
66000170002,臺中市,潭子區,潭秀里,391,211,221,375,170,-164,76.923,-43.733
66000170003,臺中市,潭子區,潭北里,890,351,531,486,359,-135,67.608,-27.778
66000170001,臺中市,潭子區,潭陽里,3531,1501,1993,2323,1538,-822,77.17,-35.385
66000170004,臺中市,潭子區,福仁里,3943,1484,2170,2028,1773,-544,81.705,-26.824
66000170005,臺中市,潭子區,頭家里,1849,682,1151,1124,698,-442,60.643,-39.324
66000170014,臺中市,潭子區,頭家東里,1442,550,876,888,566,-338,64.612,-38.063
66000170015,臺中市,潭子區,家興里,2459,1004,1518,1379,941,-375,61.989,-27.194
66000170016,臺中市,潭子區,家福里,1643,676,1003,986,640,-310,63.809,-31.44
66000170006,臺中市,潭子區,甘蔗里,3338,1256,1931,1933,1407,-677,72.864,-35.023
66000170007,臺中市,潭子區,東寶里,3903,1783,2260,2743,1643,-960,72.699,-34.998
66000170008,臺中市,潭子區,大富里,1048,481,523,691,525,-210,100.382,-30.391
66000170009,臺中市,潭子區,大豐里,2171,919,1124,1432,1047,-513,93.149,-35.824
66000170010,臺中市,潭子區,栗林里,1743,775,884,1234,859,-459,97.172,-37.196
66000170011,臺中市,潭子區,嘉仁里,1307,594,642,965,665,-371,103.583,-38.446
66000170012,臺中市,潭子區,新田里,457,208,260,401,197,-193,75.769,-48.13
66000170013,臺中市,潭子區,聚興里,1306,545,726,843,580,-298,79.89,-35.35
66000060001,臺中市,西屯區,西安里,1302,334,1108,1154,194,-820,17.509,-71.057
66000060026,臺中市,西屯區,至善里,1099,297,1012,895,87,-598,8.597,-66.816
66000060024,臺中市,西屯區,西平里,1212,269,1181,778,31,-509,2.625,-65.424
66000060002,臺中市,西屯區,西墩里,1385,422,1140,1293,245,-871,21.491,-67.363
66000060003,臺中市,西屯區,潮洋里,1372,353,1139,1136,233,-783,20.457,-68.926
66000060004,臺中市,西屯區,龍潭里,220,91,156,254,64,-163,41.026,-64.173
66000060005,臺中市,西屯區,惠來里,3510,740,3286,2914,224,-2174,6.817,-74.605
66000060006,臺中市,西屯區,上石里,1238,272,1013,959,225,-687,22.211,-71.637
66000060027,臺中市,西屯區,上安里,1310,306,1185,1114,125,-808,10.549,-72.531
66000060028,臺中市,西屯區,上德里,1025,259,1025,845,0,-586,0.0,-69.349
66000060007,臺中市,西屯區,逢甲里,1143,270,897,854,246,-584,27.425,-68.384
66000060029,臺中市,西屯區,逢福里,1436,303,1312,1121,124,-818,9.451,-72.971
66000060008,臺中市,西屯區,鵬程里,1031,92,1055,188,-24,-96,-2.275,-51.064
66000060010,臺中市,西屯區,何厝里,718,181,628,724,90,-543,14.331,-75.0
66000060030,臺中市,西屯區,何明里,850,296,815,871,35,-575,4.294,-66.016
66000060025,臺中市,西屯區,何南里,1032,300,1027,938,5,-638,0.487,-68.017
66000060031,臺中市,西屯區,何成里,1728,430,1520,1547,208,-1117,13.684,-72.204
66000060009,臺中市,西屯區,何安里,1191,362,1051,1145,140,-783,13.321,-68.384
66000060021,臺中市,西屯區,何仁里,1459,436,1286,1363,173,-927,13.453,-68.012
66000060022,臺中市,西屯區,何德里,917,200,766,802,151,-602,19.713,-75.062
66000060032,臺中市,西屯區,何福里,1000,309,916,1035,84,-726,9.17,-70.145
66000060023,臺中市,西屯區,何源里,1665,448,1509,1361,156,-913,10.338,-67.083
66000060011,臺中市,西屯區,大河里,865,356,767,1030,98,-674,12.777,-65.437
66000060012,臺中市,西屯區,大石里,870,59,866,156,4,-97,0.462,-62.179
66000060013,臺中市,西屯區,大福里,790,187,764,594,26,-407,3.403,-68.519
66000060014,臺中市,西屯區,大鵬里,1233,317,1106,888,127,-571,11.483,-64.302
66000060015,臺中市,西屯區,港尾里,1249,312,1023,1098,226,-786,22.092,-71.585
66000060016,臺中市,西屯區,廣福里,458,146,420,628,38,-482,9.048,-76.752
66000060017,臺中市,西屯區,林厝里,773,176,762,666,11,-490,1.444,-73.574
66000060018,臺中市,西屯區,永安里,2869,655,2554,2433,315,-1778,12.334,-73.079
66000060019,臺中市,西屯區,福安里,804,189,695,653,109,-464,15.683,-71.057
66000060039,臺中市,西屯區,福雅里,1460,339,1298,1162,162,-823,12.481,-70.826
66000060038,臺中市,西屯區,福林里,1997,438,1869,1482,128,-1044,6.849,-70.445
66000060037,臺中市,西屯區,福瑞里,708,155,641,479,67,-324,10.452,-67.641
66000060036,臺中市,西屯區,福聯里,643,157,597,517,46,-360,7.705,-69.632
66000060033,臺中市,西屯區,福和里,785,263,698,1059,87,-796,12.464,-75.165
66000060034,臺中市,西屯區,福中里,729,168,680,693,49,-525,7.206,-75.758
66000060035,臺中市,西屯區,福恩里,1232,312,1209,1037,23,-725,1.902,-69.913
66000060020,臺中市,西屯區,協和里,1080,309,890,1042,190,-733,21.348,-70.345
66000070001,臺中市,南屯區,南屯里,1942,563,1830,1954,112,-1391,6.12,-71.187
66000070002,臺中市,南屯區,豐樂里,2758,778,2570,2648,188,-1870,7.315,-70.619
66000070003,臺中市,南屯區,楓樹里,1582,498,1306,1499,276,-1001,21.133,-66.778
66000070004,臺中市,南屯區,中和里,993,333,767,1094,226,-761,29.465,-69.561
66000070014,臺中市,南屯區,鎮平里,249,112,217,361,32,-249,14.747,-68.975
66000070005,臺中市,南屯區,春社里,1604,360,1286,1177,318,-817,24.728,-69.414
66000070006,臺中市,南屯區,春安里,974,180,261,231,713,-51,273.18,-22.078
66000070007,臺中市,南屯區,文山里,2560,689,2035,2241,525,-1552,25.799,-69.255
66000070023,臺中市,南屯區,寶山里,1140,311,1029,1028,111,-717,10.787,-69.747
66000070008,臺中市,南屯區,新生里,783,176,420,489,363,-313,86.429,-64.008
66000070009,臺中市,南屯區,永定里,1284,410,936,1199,348,-789,37.179,-65.805
66000070010,臺中市,南屯區,三厝里,1753,451,1534,1443,219,-992,14.276,-68.746
66000070025,臺中市,南屯區,三義里,1669,361,1597,1309,72,-948,4.508,-72.422
66000070024,臺中市,南屯區,三和里,2186,448,2101,1675,85,-1227,4.046,-73.254
66000070013,臺中市,南屯區,黎明里,1121,275,1147,804,-26,-529,-2.267,-65.796
66000070011,臺中市,南屯區,溝墘里,1450,400,1353,1274,97,-874,7.169,-68.603
66000070021,臺中市,南屯區,大業里,1648,425,1557,1464,91,-1039,5.845,-70.97
66000070022,臺中市,南屯區,惠中里,1906,510,1718,1663,188,-1153,10.943,-69.333
66000070012,臺中市,南屯區,田心里,1592,488,1281,1469,311,-981,24.278,-66.78
66000070018,臺中市,南屯區,向心里,1207,307,1095,1067,112,-760,10.228,-71.228
66000070016,臺中市,南屯區,文心里,1018,242,896,825,122,-583,13.616,-70.667
66000070017,臺中市,南屯區,同心里,1152,290,1150,1088,2,-798,0.174,-73.346
66000070015,臺中市,南屯區,大同里,1117,358,1069,1199,48,-841,4.49,-70.142
66000070020,臺中市,南屯區,大興里,1016,345,939,1056,77,-711,8.2,-67.33
66000070019,臺中市,南屯區,大誠里,945,298,805,832,140,-534,17.391,-64.183
66000080003,臺中市,北屯區,三光里,1855,452,1629,1404,226,-952,13.874,-67.806
66000080041,臺中市,北屯區,三和里,1458,383,1369,1110,89,-727,6.501,-65.495
66000080014,臺中市,北屯區,大坑里,478,134,420,487,58,-353,13.81,-72.485
66000080031,臺中市,北屯區,大德里,1321,288,1307,950,14,-662,1.071,-69.684
