villcode,county,district,village,agree_2025,disagree_2025,agree_2021,disagree_2021,agree_diff,disagree_diff,agree_pct_change,disagree_pct_change
66000110001,臺中市,大甲區,朝陽里,232,80,260.0,317.0,-28.0,-237.0,-10.76923076923077,-74.76340694006309
66000110002,臺中市,大甲區,大甲里,177,61,183.0,252.0,-6.0,-191.0,-3.278688524590164,-75.79365079365078
66000110003,臺中市,大甲區,順天里,317,93,302.0,381.0,15.0,-288.0,4.966887417218543,-75.59055118110236
66000110004,臺中市,大甲區,孔門里,150,34,147.0,142.0,3.0,-108.0,2.0408163265306123,-76.05633802816901
66000110005,臺中市,大甲區,平安里,408,95,349.0,437.0,59.0,-342.0,16.9054441260745,-78.26086956521739
66000110006,臺中市,大甲區,庄美里,438,132,387.0,496.0,51.0,-364.0,13.178294573643413,-73.38709677419355
66000110007,臺中市,大甲區,新美里,711,183,651.0,679.0,60.0,-496.0,9.216589861751153,-73.04860088365243
66000110008,臺中市,大甲區,岷山里,456,92,382.0,386.0,74.0,-294.0,19.3717277486911,-76.16580310880829
66000110009,臺中市,大甲區,中山里,1058,220,888.0,817.0,170.0,-597.0,19.144144144144143,-73.07221542227663
66000110010,臺中市,大甲區,南陽里,173,40,154.0,172.0,19.0,-132.0,12.337662337662337,-76.74418604651163
66000110011,臺中市,大甲區,薰風里,205,34,168.0,229.0,37.0,-195.0,22.023809523809522,-85.1528384279476
66000110012,臺中市,大甲區,義和里,703,146,562.0,579.0,141.0,-433.0,25.088967971530252,-74.78411053540587
66000110013,臺中市,大甲區,武陵里,277,47,227.0,225.0,50.0,-178.0,22.026431718061673,-79.11111111111111
66000110014,臺中市,大甲區,文曲里,207,45,132.0,222.0,75.0,-177.0,56.81818181818182,-79.72972972972973
66000110015,臺中市,大甲區,武曲里,417,98,333.0,369.0,84.0,-271.0,25.225225225225223,-73.44173441734418
66000110016,臺中市,大甲區,文武里,1130,297,1003.0,1059.0,127.0,-762.0,12.662013958125623,-71.95467422096317
66000110017,臺中市,大甲區,奉化里,490,122,404.0,391.0,86.0,-269.0,21.287128712871286,-68.79795396419436
66000110018,臺中市,大甲區,德化里,361,74,255.0,380.0,106.0,-306.0,41.568627450980394,-80.52631578947368
66000110019,臺中市,大甲區,江南里,267,56,216.0,251.0,51.0,-195.0,23.61111111111111,-77.68924302788844
66000110020,臺中市,大甲區,頂店里,996,235,776.0,894.0,220.0,-659.0,28.350515463917525,-73.71364653243847
66000110021,臺中市,大甲區,太白里,247,55,176.0,251.0,71.0,-196.0,40.340909090909086,-78.08764940239044
66000110022,臺中市,大甲區,孟春里,719,192,594.0,779.0,125.0,-587.0,21.043771043771045,-75.35301668806162
66000110023,臺中市,大甲區,幸福里,424,129,347.0,503.0,77.0,-374.0,22.19020172910663,-74.35387673956262
66000110024,臺中市,大甲區,日南里,1082,254,836.0,974.0,246.0,-720.0,29.42583732057416,-73.92197125256673
66000110025,臺中市,大甲區,龍泉里,303,78,258.0,319.0,45.0,-241.0,17.441860465116278,-75.54858934169279
66000110026,臺中市,大甲區,西岐里,360,90,282.0,312.0,78.0,-222.0,27.659574468085108,-71.15384615384616
